Tempo	C1	C2	C3	C4	C5
1,82	-5,4090434	-5,971281	1,8909945	0,8256455	-3,824603
1,84	-4,321721505	-5,7289143	1,4994787	0,70313036	-3,273285
1,86	-4,015433495	-5,009804	0,82298213	0,6498629	-1,7791328
1,88	-2,12257478	-3,9497814	0,6818234	0,5832786	-0,585942
1,9	1,2496544	-3,3318791	0,78036815	0,564635	1,2864089
1,92	2,318599065	-1,8963213	0,8922298	0,5539815	1,5554096
1,94	2,416611035	-1,0760025	0,82298213	0,5726251	1,3663101
1,96	1,73358912	0,4767437	0,5912687	0,58860534	1,0786659
1,98	1,577382435	1,4542015	0,44744658	0,5939321	0,52468437
2	1,127139265	1,3902805	0,4181495	0,585942	0,292971
2,02	1,13632788	-0,05060408	0,38086227	0,62056583	1,1905276
2,04	2,113386165	-0,49805066	0,36221868	0,7191106	2,2079358
2,06	3,46717824	0,018643608	0,3489018	0,7563978	4,0536532
2,08	3,770403455	0,91620016	0,3781989	0,793685	3,9657617
2,1	2,94342615	1,2384683	0,4181495	0,79901177	2,92971
2,12	2,18995811	1,7578259	0,543328	0,8043385	0,7643879
2,14	1,53756495	2,3996987	0,58860534	0,793685	0,522021
2,16	1,29253468	2,4183424	0,63121927	0,7830315	0,8043385
2,18	0,906612045	1,58737	0,67383325	0,7963484	0,57795185
2,2	0,024503027	1,2411317	0,7377542	0,84162575	0,35689193
2,22	-0,266470422	1,1479136	0,9534874	0,9961013	-0,098544784
2,24	-0,364482518	0,9854478	1,0360519	1,2544484	-0,10919827
2,26	0,77797109	0,89489317	1,1239432	1,4355578	0,64453614
2,28	1,5130619	1,0014281	1,2624385	1,7631526	1,4355578
2,3	2,16239215	1,1452502	1,3130426	2,0534601	1,4994787
2,32	2,015373965	1,2837455	1,3210328	2,202609	1,0120816
2,34	1,19452248	1,1692206	1,3396764	2,394372	0,6978036
2,36	0,388985545	1,0973095	1,4408846	2,436986	0,38086227
2,38	0,159269676	0,9961013	1,5074688	2,444976	0,3888524
2,4	0,055131811	0,9694676	1,5367659	2,516887	0,46076345
2,42	0,159269676	0,91620016	1,5926968	2,5541742	0,7191106
2,44	0,58500983	0,8256455	1,6060137	2,4423127	0,86825943
2,46	0,973995375	0,793685	1,6166672	2,181302	1,1479136
2,48	1,07507037	0,78036815	1,7098851	1,4728451	1,464855
2,5	1,234339965	0,793685	1,7844596	1,1532403	1,6246573
2,52	1,34460369	0,8602693	1,8776777	1,014745	1,8563707
2,54	1,31397482	0,9534874	1,973559	0,3409117	2,008183
2,56	1,16695675	0,9854478	2,3144708	-0,031960472	2,130698
2,58	1,151642315	1,0200717	2,5195503	-0,7750414	2,3144708
2,6	1,29253468	1,0333885	2,588798	-1,5474194	2,2212527
2,62	1,49468467	1,0573589	2,780561	-1,8483806	2,26653
2,64	1,6110741	1,086656	2,9776504	-2,4316592	3,132126
2,66	2,012311055	1,1052996	3,6195233	-2,7326202	3,4357505
2,68	2,257341325	1,1425868	3,8672168	-3,259968	3,6221867
2,7	2,48399425	1,1905276	3,574246	-3,6781175	3,5875628
2,72	2,75046489	1,2304782	2,5728178	-3,8299298	3,3505228
2,74	3,0659414	1,3263595	2,02949	-4,0643067	2,71664
2,76	3,66626555	1,3609834	1,0387152	-4,1788316	1,8883312
2,78	3,82859817	1,4249043	0,17844597	-4,29602	-0,14382212
2,8	3,862289835	1,5580729	-0,15181224	-4,3519506	-0,6125757
2,82	3,488618495	1,6379741	-0,75107104	-4,410545	-0,8709228
2,84	3,23746252	1,7791328	-1,1878642	-4,4558225	-1,5607363
2,86	2,77496794	1,8537073	-2,1200445	-4,3759212	-1,9655689
2,88	2,27571867	2,0188365	-2,7752342	-4,016366	-2,8151848
2,9	0,3124136	2,173312	-3,0708685	-3,489018	-3,1827302
